"","X","ISO3","Country","Province","Market","Address","latitude","longitude","ID","local_consumption"
"1828",1828,"TLS","Timor-Leste","Bobonaro","Maliana","Maliana, Timor-Leste",-8.9837384,125.2203419,"TLS1828",8690957.84375
"1829",1829,"TLS","Timor-Leste","Dili","Becora","Becora, Timor-Leste",-8.5619684,125.6036153,"TLS1829",15959392.8125
"1830",1830,"TLS","Timor-Leste","Dili","Comoro","Comoro, Timor-Leste",-8.5568557,125.5603143,"TLS1830",16047987.265625
"1831",1831,"TLS","Timor-Leste","Dili","Dili","Dili, Timor-Leste",-8.5568557,125.5603143,"TLS1831",16047987.265625
"1832",1832,"TLS","Timor-Leste","Dili","Hali-Laren","Hali-Laren, Timor-Leste",38.8985658,-77.0442842,"TLS1832",203788744.25
"1833",1833,"TLS","Timor-Leste","Oecussi","Baqui","Baqui, Timor-Leste",-9.2881032,124.3500423,"TLS1833",6546724.84375
"1834",1834,"TLS","Timor-Leste","Oecussi","Numbey","Numbey, Timor-Leste",38.9434867,-77.0626075,"TLS1834",203212145.5
"1835",1835,"TLS","Timor-Leste","Oecussi","Pune","Pune, Timor-Leste",-9.368394,124.3166576,"TLS1835",8006621.4921875
"1836",1836,"TGO","Togo","Kara","Kara","Kara, Togo",9.5486112,1.1977158,"TGO1836",113318370.773438
"1837",1837,"TGO","Togo","Maritime","Amegnran","Amegnran, Togo",6.4656774,1.5668869,"TGO1837",171030751.03125
"1838",1838,"TGO","Togo","Maritime","Lomé","Lomé, Togo",6.1256261,1.2254183,"TGO1838",735894472.5
"1839",1839,"TGO","Togo","Plateaux","Anie","Anie, Togo",7.756294,1.1977158,"TGO1839",45204798.375
"1840",1840,"TGO","Togo","Savanes","Cinkassé","Cinkassé, Togo",6.2220342,1.2336686,"TGO1840",748021780.6875
"1841",1841,"TGO","Togo","Savanes","Korbongou","Korbongou, Togo",10.9099183,0.3113278,"TGO1841",99332879.765625
"1842",1842,"TGO","Togo",NA,"Cinkasse","Cinkasse, Togo",11.1020203,0.0097847,"TGO1842",98407059.609375
"1843",1843,"TUR","Turkey","","Ankara","Ankara, Turkey",39.9333635,32.8597419,"TUR1843",10382949952.875
"1844",1844,"TUR","Turkey","","Istanbul","Istanbul, Turkey",41.0082376,28.9783589,"TUR1844",35316689769.5
"1845",1845,"TUR","Turkey","","Izmir","Izmir, Turkey",38.423734,27.142826,"TUR1845",11063895339.375
"1846",1846,"TUR","Turkey","","National Average","National Average, Turkey",38.8881601,-77.0198679,"TUR1846",9142511692.25
"1847",1847,"UGA","Uganda","Abim","Makaratin","Makaratin, Uganda",49.2875782,-123.1190492,"UGA1847",1520738887.5
"1848",1848,"UGA","Uganda","Amudat","Karita","Karita, Uganda",1.543947,34.818039,"UGA1848",59907654.84375
"1849",1849,"UGA","Uganda","Busia","Busia","Busia, Uganda",0.4706692,34.0919803,"UGA1849",612850061.25
"1850",1850,"UGA","Uganda","Gulu","Gulu","Gulu, Uganda",2.7724038,32.2880726,"UGA1850",281278738.125
"1851",1851,"UGA","Uganda","Iganga","Iganga","Iganga, Uganda",0.6045833,33.4719832,"UGA1851",615689313.75
"1852",1852,"UGA","Uganda","Jinja","Jinja","Jinja, Uganda",0.4478566,33.2026122,"UGA1852",636909446.25
"1853",1853,"UGA","Uganda","Kaabong","Kaabong","Kaabong, Uganda",3.5124436,34.1337219,"UGA1853",133708103.496094
"1854",1854,"UGA","Uganda","Kampala","Owino","Owino, Uganda",0.3100441,32.5743195,"UGA1854",2786110425
"1855",1855,"UGA","Uganda","Kotido","Kotido","Kotido, Uganda",3.0062022,34.1114621,"UGA1855",75454366.640625
"1856",1856,"UGA","Uganda","Kween","Kapchorwa","Kapchorwa, Uganda",1.397297,34.4489384,"UGA1856",253481779.6875
"1857",1857,"UGA","Uganda","Kyankwanzi","Kiboga","Kiboga, Uganda",0.965759,31.7195459,"UGA1857",134694895.78125
"1858",1858,"UGA","Uganda","Lira","Lira","Lira, Uganda",2.2580829,32.8874067,"UGA1858",397109278.125
"1859",1859,"UGA","Uganda","Mbale","Mbale","Mbale, Uganda",1.0784436,34.1810057,"UGA1859",893050436.25
"1860",1860,"UGA","Uganda","Mbarara","Mbarara","Mbarara, Uganda",-0.6071596,30.6545022,"UGA1860",336479928.75
"1861",1861,"UGA","Uganda","Nakapiripirit","Namalu","Namalu, Uganda",1.755573,34.6109691,"UGA1861",48605976.5625
"1862",1862,"UGA","Uganda","Soroti","Soroti","Soroti, Uganda",1.7131812,33.6063855,"UGA1862",254167692.1875
"1863",1863,"UGA","Uganda",NA,"Kampala","Kampala, Uganda",0.3475964,32.5825197,"UGA1863",2825407620
"1864",1864,"UKR","Ukraine","","Cherkasy","Cherkasy, Ukraine",49.444433,32.059767,"UKR1864",2759366012.79688
"1865",1865,"UKR","Ukraine","","Chernihiv","Chernihiv, Ukraine",51.4982,31.2893499,"UKR1865",2693117141.89062
"1866",1866,"UKR","Ukraine","","Chernivtsi","Chernivtsi, Ukraine",48.2920787,25.9358367,"UKR1866",2884970379.125
"1867",1867,"UKR","Ukraine","","Crimea","Crimea, Ukraine",45.3453029,34.4997274,"UKR1867",609139887.59375
"1868",1868,"UKR","Ukraine","","Dnipropetrovsk","Dnipropetrovsk, Ukraine",48.464717,35.046183,"UKR1868",9215449548.3125
"1869",1869,"UKR","Ukraine","","Donetska","Donetska, Ukraine",48.015883,37.80285,"UKR1869",9690708240.75
"1870",1870,"UKR","Ukraine","","Herson","Herson, Ukraine",46.635417,32.616867,"UKR1870",3145147547.1875
"1871",1871,"UKR","Ukraine","","Ivano-Frankivsk","Ivano-Frankivsk, Ukraine",48.922633,24.711117,"UKR1871",2915784283.98438
"1872",1872,"UKR","Ukraine","","Kharkivka","Kharkivka, Ukraine",49.9935,36.230383,"UKR1872",13007393181
"1873",1873,"UKR","Ukraine","","Khmelnytsky","Khmelnytsky, Ukraine",49.422983,26.9871331,"UKR1873",2502397383.65625
